frame,time_s,Kc,target_speed,error_L,error_R,command_L,command_R,left_speed,right_speed,v,w,theta_deg,x,y
3,0.048,45.0,20.0,4.7936,7.8349,215.712,352.5696,21.6226,24.1863,22.9044,0.0427,0.0367,201.07,240.0
6,0.096,45.0,20.0,-0.0236,-1.3428,-1.0604,-60.4238,19.3489,18.5329,18.9409,-0.0136,0.0167,201.99,240.0
9,0.144,45.0,20.0,0.483,0.8025,21.7341,36.1113,19.588,19.8543,19.7211,0.0044,0.025,202.93,240.0
12,0.192,45.0,20.0,0.4297,0.301,19.3372,13.5467,19.5628,19.5454,19.5541,-0.0003,0.0251,203.87,240.0
15,0.24,45.0,20.0,0.4353,0.4182,19.5892,18.8211,19.5655,19.6176,19.5916,0.0009,0.0273,204.81,240.0
18,0.288,45.0,20.0,0.4347,0.3908,19.5627,17.5882,19.5652,19.6008,19.583,0.0006,0.029,205.75,240.0
21,0.336,45.0,20.0,0.4348,0.3973,19.5655,17.8764,19.5652,19.6047,19.585,0.0007,0.0308,206.69,240.0
24,0.384,45.0,20.0,0.4348,0.3958,19.5652,17.809,19.5652,19.6038,19.5845,0.0006,0.0325,207.63,240.0
27,0.432,45.0,20.0,0.4348,0.3961,19.5652,17.8248,19.5652,19.604,19.5846,0.0006,0.0343,208.57,240.0
30,0.48,45.0,20.0,0.4348,0.396,19.5652,17.8211,19.5652,19.604,19.5846,0.0006,0.0361,209.51,240.0
33,0.528,45.0,20.0,0.4348,0.396,19.5652,17.8219,19.5652,19.604,19.5846,0.0006,0.0379,210.45,240.01
36,0.576,45.0,20.0,0.4348,0.396,19.5652,17.8217,19.5652,19.604,19.5846,0.0006,0.0396,211.39,240.01
39,0.624,45.0,20.0,0.4348,0.396,19.5652,17.8218,19.5652,19.604,19.5846,0.0006,0.0414,212.33,240.01
42,0.672,45.0,20.0,0.4348,0.396,19.5652,17.8218,19.5652,19.604,19.5846,0.0006,0.0432,213.27,240.01
45,0.72,45.0,20.0,0.4348,0.396,19.5652,17.8218,19.5652,19.604,19.5846,0.0006,0.045,214.21,240.01
48,0.768,45.0,20.0,0.4348,0.396,19.5652,17.8218,19.5652,19.604,19.5846,0.0006,0.0467,215.15,240.01
51,0.816,45.0,20.0,0.4348,0.396,19.5652,17.8218,19.5652,19.604,19.5846,0.0006,0.0485,216.09,240.01
54,0.864,45.0,20.0,0.4348,0.396,19.5652,17.8218,19.5652,19.604,19.5846,0.0006,0.0503,217.03,240.01
57,0.912,45.0,20.0,0.4348,0.396,19.5652,17.8218,19.5652,19.604,19.5846,0.0006,0.0521,217.97,240.01
60,0.96,45.0,20.0,0.4348,0.396,19.5652,17.8218,19.5652,19.604,19.5846,0.0006,0.0538,218.91,240.01
63,1.008,45.0,20.0,0.4348,0.396,19.5652,17.8218,19.5652,19.604,19.5846,0.0006,0.0556,219.85,240.01
66,1.056,45.0,20.0,0.4348,0.396,19.5652,17.8218,19.5652,19.604,19.5846,0.0006,0.0574,220.79,240.01
69,1.104,45.0,20.0,0.4348,0.396,19.5652,17.8218,19.5652,19.604,19.5846,0.0006,0.0592,221.73,240.01
72,1.152,45.0,20.0,0.4348,0.396,19.5652,17.8218,19.5652,19.604,19.5846,0.0006,0.0609,222.67,240.02
75,1.2,45.0,20.0,0.4348,0.396,19.5652,17.8218,19.5652,19.604,19.5846,0.0006,0.0627,223.61,240.02
78,1.248,45.0,20.0,0.4348,0.396,19.5652,17.8218,19.5652,19.604,19.5846,0.0006,0.0645,224.55,240.02
81,1.296,45.0,20.0,0.4348,0.396,19.5652,17.8218,19.5652,19.604,19.5846,0.0006,0.0663,225.49,240.02
84,1.344,45.0,20.0,0.4348,0.396,19.5652,17.8218,19.5652,19.604,19.5846,0.0006,0.068,226.43,240.02
87,1.392,45.0,20.0,0.4348,0.396,19.5652,17.8218,19.5652,19.604,19.5846,0.0006,0.0698,227.37,240.02
90,1.44,45.0,20.0,0.4348,0.396,19.5652,17.8218,19.5652,19.604,19.5846,0.0006,0.0716,228.31,240.02
93,1.488,45.0,20.0,0.4348,0.396,19.5652,17.8218,19.5652,19.604,19.5846,0.0006,0.0734,229.25,240.02
96,1.536,45.0,20.0,0.4348,0.396,19.5652,17.8218,19.5652,19.604,19.5846,0.0006,0.0751,230.19,240.02
99,1.584,45.0,20.0,0.4348,0.396,19.5652,17.8218,19.5652,19.604,19.5846,0.0006,0.0769,231.13,240.03
102,1.632,45.0,20.0,0.4348,0.396,19.5652,17.8218,19.5652,19.604,19.5846,0.0006,0.0787,232.07,240.03
105,1.68,45.0,20.0,0.4348,0.396,19.5652,17.8218,19.5652,19.604,19.5846,0.0006,0.0805,233.01,240.03
108,1.728,45.0,20.0,0.4348,0.396,19.5652,17.8218,19.5652,19.604,19.5846,0.0006,0.0823,233.95,240.03
111,1.776,45.0,20.0,0.4348,0.396,19.5652,17.8218,19.5652,19.604,19.5846,0.0006,0.084,234.89,240.03
114,1.824,45.0,20.0,0.4348,0.396,19.5652,17.8218,19.5652,19.604,19.5846,0.0006,0.0858,235.83,240.03
117,1.872,45.0,20.0,0.4348,0.396,19.5652,17.8218,19.5652,19.604,19.5846,0.0006,0.0876,236.77,240.03
120,1.92,45.0,20.0,0.4348,0.396,19.5652,17.8218,19.5652,19.604,19.5846,0.0006,0.0894,237.71,240.04
123,1.968,45.0,20.0,0.4348,0.396,19.5652,17.8218,19.5652,19.604,19.5846,0.0006,0.0911,238.65,240.04
126,2.016,45.0,20.0,0.4348,0.396,19.5652,17.8218,19.5652,19.604,19.5846,0.0006,0.0929,239.59,240.04
129,2.064,45.0,20.0,0.4348,0.396,19.5652,17.8218,19.5652,19.604,19.5846,0.0006,0.0947,240.53,240.04
132,2.112,45.0,20.0,0.4348,0.396,19.5652,17.8218,19.5652,19.604,19.5846,0.0006,0.0965,241.47,240.04
135,2.16,45.0,20.0,0.4348,0.396,19.5652,17.8218,19.5652,19.604,19.5846,0.0006,0.0982,242.41,240.04
138,2.208,45.0,20.0,0.4348,0.396,19.5652,17.8218,19.5652,19.604,19.5846,0.0006,0.1,243.35,240.05
141,2.256,45.0,20.0,0.4348,0.396,19.5652,17.8218,19.5652,19.604,19.5846,0.0006,0.1018,244.29,240.05
144,2.304,45.0,20.0,0.4348,0.396,19.5652,17.8218,19.5652,19.604,19.5846,0.0006,0.1036,245.23,240.05
147,2.352,45.0,20.0,0.4348,0.396,19.5652,17.8218,19.5652,19.604,19.5846,0.0006,0.1053,246.17,240.05
150,2.4,45.0,20.0,0.4348,0.396,19.5652,17.8218,19.5652,19.604,19.5846,0.0006,0.1071,247.11,240.05
153,2.448,45.0,20.0,0.4348,0.396,19.5652,17.8218,19.5652,19.604,19.5846,0.0006,0.1089,248.05,240.05
156,2.496,45.0,20.0,0.4348,0.396,19.5652,17.8218,19.5652,19.604,19.5846,0.0006,0.1107,248.99,240.06
159,2.544,45.0,20.0,0.4348,0.396,19.5652,17.8218,19.5652,19.604,19.5846,0.0006,0.1124,249.93,240.06
162,2.592,45.0,20.0,0.4348,0.396,19.5652,17.8218,19.5652,19.604,19.5846,0.0006,0.1142,250.87,240.06
165,2.64,45.0,20.0,0.4348,0.396,19.5652,17.8218,19.5652,19.604,19.5846,0.0006,0.116,251.81,240.06
168,2.688,45.0,20.0,0.4348,0.396,19.5652,17.8218,19.5652,19.604,19.5846,0.0006,0.1178,252.75,240.06
171,2.736,45.0,20.0,0.4348,0.396,19.5652,17.8218,19.5652,19.604,19.5846,0.0006,0.1195,253.69,240.06
174,2.784,45.0,20.0,0.4348,0.396,19.5652,17.8218,19.5652,19.604,19.5846,0.0006,0.1213,254.63,240.07
177,2.832,45.0,20.0,0.4348,0.396,19.5652,17.8218,19.5652,19.604,19.5846,0.0006,0.1231,255.57,240.07
180,2.88,45.0,20.0,0.4348,0.396,19.5652,17.8218,19.5652,19.604,19.5846,0.0006,0.1249,256.51,240.07
183,2.928,45.0,20.0,0.4348,0.396,19.5652,17.8218,19.5652,19.604,19.5846,0.0006,0.1266,257.45,240.07
186,2.976,45.0,20.0,0.4348,0.396,19.5652,17.8218,19.5652,19.604,19.5846,0.0006,0.1284,258.39,240.08
189,3.024,45.0,20.0,0.4348,0.396,19.5652,17.8218,19.5652,19.604,19.5846,0.0006,0.1302,259.33,240.08
192,3.072,45.0,20.0,0.4348,0.396,19.5652,17.8218,19.5652,19.604,19.5846,0.0006,0.132,260.27,240.08
195,3.12,45.0,20.0,0.4348,0.396,19.5652,17.8218,19.5652,19.604,19.5846,0.0006,0.1338,261.21,240.08
198,3.168,45.0,20.0,0.4348,0.396,19.5652,17.8218,19.5652,19.604,19.5846,0.0006,0.1355,262.15,240.08
201,3.216,45.0,20.0,0.4348,0.396,19.5652,17.8218,19.5652,19.604,19.5846,0.0006,0.1373,263.09,240.09
204,3.264,45.0,20.0,0.4348,0.396,19.5652,17.8218,19.5652,19.604,19.5846,0.0006,0.1391,264.03,240.09
207,3.312,45.0,20.0,0.4348,0.396,19.5652,17.8218,19.5652,19.604,19.5846,0.0006,0.1409,264.97,240.09
210,3.36,45.0,20.0,0.4348,0.396,19.5652,17.8218,19.5652,19.604,19.5846,0.0006,0.1426,265.91,240.09
213,3.408,45.0,20.0,0.4348,0.396,19.5652,17.8218,19.5652,19.604,19.5846,0.0006,0.1444,266.85,240.1
216,3.456,45.0,20.0,0.4348,0.396,19.5652,17.8218,19.5652,19.604,19.5846,0.0006,0.1462,267.79,240.1
219,3.504,45.0,20.0,0.4348,0.396,19.5652,17.8218,19.5652,19.604,19.5846,0.0006,0.148,268.73,240.1
222,3.552,45.0,20.0,0.4348,0.396,19.5652,17.8218,19.5652,19.604,19.5846,0.0006,0.1497,269.67,240.1
225,3.6,45.0,20.0,0.4348,0.396,19.5652,17.8218,19.5652,19.604,19.5846,0.0006,0.1515,270.61,240.11
228,3.648,45.0,20.0,0.4348,0.396,19.5652,17.8218,19.5652,19.604,19.5846,0.0006,0.1533,271.55,240.11
231,3.696,45.0,20.0,0.4348,0.396,19.5652,17.8218,19.5652,19.604,19.5846,0.0006,0.1551,272.49,240.11
